StudentNo,100136499
System,basic
QueryNo,Rank,URL
2,0.011830582845900554,portal.uea.ac.uk/postgraduate-research/pgr-regulations-and-forms/electronic-thesis-submission-and-access
2,0.011830582845900554,portal.uea.ac.uk/en/postgraduate-research/pgr-regulations-and-forms/electronic-thesis-submission-and-access
2,0.011760827753755096,portal.uea.ac.uk/library/news/-/asset_publisher/PFyiDU0daRt0/blog/christmas-in-the-library
2,0.011684641133404451,portal.uea.ac.uk/library/collections
2,0.011450867960143206,portal.uea.ac.uk/rin/open-access-and-research-data/meeting-ref-requirements/uea-policy
2,0.011450867960143206,portal.uea.ac.uk/ren/open-access-and-research-data/meeting-ref-requirements/uea-policy
2,0.011450867960143206,portal.uea.ac.uk/library/research-support/open-access/uea-policy
2,0.011450867960143206,portal.uea.ac.uk/en/rin/open-access-and-research-data/meeting-ref-requirements/uea-policy
2,0.011441617193711,portal.uea.ac.uk/library/e-resources/off-campus
2,0.011117939386337006,portal.uea.ac.uk/library/disabilities
2,0.011117939386337006,portal.uea.ac.uk/web/hub/library/disabilities
2,0.011100665018692538,portal.uea.ac.uk/library/av
2,0.011100665018692538,portal.uea.ac.uk/web/hub/library/av
2,0.011062768867365074,portal.uea.ac.uk/rin/open-access-and-research-data/what-is-open-access-/finding-uea-oa-content
2,0.011062768867365074,portal.uea.ac.uk/ren/open-access-and-research-data/what-is-open-access-/finding-uea-oa-content
2,0.011062768867365074,portal.uea.ac.uk/en/rin/open-access-and-research-data/what-is-open-access-/finding-uea-oa-content
2,0.011044436047049836,portal.uea.ac.uk/library/training-and-support
2,0.011044436047049836,portal.uea.ac.uk/web/hub/library/teaching-support
2,0.011044436047049836,portal.uea.ac.uk/library/teaching-support
2,0.011020475531519785,portal.uea.ac.uk/library/subject-guides/mathematics
2,0.011020475531519785,portal.uea.ac.uk/web/hub/library/subject-guides/mathematics
2,0.010998979555013663,portal.uea.ac.uk/library/opening
2,0.010972524537149362,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/public-task-statement
2,0.010972524537149362,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/public-task-statement
2,0.010933995076392382,portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/cubes/cube_library_loan
2,0.010920353448096184,portal.uea.ac.uk/library/interlending/digital
2,0.010887010105803507,portal.uea.ac.uk/web/hub/library/e-resources/ezproxy
2,0.010885278580099763,portal.uea.ac.uk/library/non-book-media
