StudentNo,100136499
System,relfbk
QueryNo,Rank,URL
3,26,portal.uea.ac.uk/en/committee-office/almanac/almanac-amendments
3,27,portal.uea.ac.uk/committee-office/almanac/almanac-amendments
3,28,portal.uea.ac.uk/partnerships-office/events/partnerships-conference-2018
3,29,portal.uea.ac.uk/csed/learning-and-teaching1/teachmeets
3,30,portal.uea.ac.uk/committee-office/uea-committees-and-boards/senate
3,31,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/senate
3,32,portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/postgraduate-research-reporting
3,33,portal.uea.ac.uk/planningoffice/slc/year-abroad-form
3,34,portal.uea.ac.uk/en/planningoffice/slc/year-abroad-form
3,35,portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/cubes/cube_library_item
3,36,portal.uea.ac.uk/student-support-service/international-students/life-in-the-uk/important-dates
3,37,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/learning-and-teaching-committee
3,38,portal.uea.ac.uk/committee-office/uea-committees-and-boards/learning-and-teaching-committee
3,39,portal.uea.ac.uk/rin/apply-for-funding/internal-peer-review/mrc
3,40,portal.uea.ac.uk/en/rin/apply-for-funding/internal-peer-review/mrc
3,41,portal.uea.ac.uk/web/hub/committee-office/uea-committees-and-boards/student-experience-committee
3,42,portal.uea.ac.uk/committee-office/uea-committees-and-boards/student-experience-committee
3,43,portal.uea.ac.uk/en/uea-retirement-association/dates-for-your-diary
3,44,portal.uea.ac.uk/uea-retirement-association/dates-for-your-diary
3,45,portal.uea.ac.uk/finance/abw/dates
3,46,portal.uea.ac.uk/en/finance/abw/dates
3,47,portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/shared-dimensions/library-item
3,48,portal.uea.ac.uk/estates/help-centre/latest-news/-/asset_publisher/4y6W3ljN9SEH/content/window-cleaning-programme-2016-2017
3,49,portal.uea.ac.uk/en/estates/help-centre/latest-news/-/asset_publisher/4y6W3ljN9SEH/content/window-cleaning-programme-2016-2017
3,50,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/council/council-membership
3,51,portal.uea.ac.uk/committee-office/uea-committees-and-boards/council/council-membership
3,52,portal.uea.ac.uk/csed/csed-programme-2017-18/booking-form-ed-
3,53,portal.uea.ac.uk/postgraduate-research/postgraduate-research-personal-and-professional-development-module-catalogue
3,54,portal.uea.ac.uk/en/postgraduate-research/events/ppd-online-directory
3,55,portal.uea.ac.uk/postgraduate-research/personal-and-professional-development-ppd/ppd-online-directory
3,56,portal.uea.ac.uk/en/postgraduate-research/personal-and-professional-development-ppd/ppd-online-directory
3,57,portal.uea.ac.uk/new-students/postgraduate-researchers/research-student-induction
3,58,portal.uea.ac.uk/new-students/postgraduate-researchers/research-student-induction/
3,59,portal.uea.ac.uk/rin/apply-for-funding/internal-peer-review/esrc
3,60,portal.uea.ac.uk/en/rin/apply-for-funding/internal-peer-review/esrc
3,61,portal.uea.ac.uk/dos/wellbeing/disability/sticker-scheme/blackboard-online-marking-pilot-semester-one-2015
3,62,portal.uea.ac.uk/student-support-service/wellbeing/disability/sticker-scheme/blackboard-online-marking-pilot-semester-one-2015
3,63,portal.uea.ac.uk/en/student-support-service/wellbeing/disability/sticker-scheme/blackboard-online-marking-pilot-semester-one-2015
3,64,portal.uea.ac.uk/committee-office/uea-committees-and-boards/council/council-2017-2018
3,65,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/council/council-2017-2018
3,66,portal.uea.ac.uk/committee-office/uea-committees-and-boards/senate/senate-2017-2018
3,67,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/senate/senate-2017-2018
3,68,portal.uea.ac.uk/csed/csed-programme-2017-18/booking-form-pd-
3,69,portal.uea.ac.uk/csed/csed-programme-2017-18/booking-form-lm-
