Query,Rank,AveragePosition,URL
9,14,6.166666667,portal.uea.ac.uk/en/uss/intranet/safety-subjects/fire/peep/documents/efry
,,,
9,15,6.2,portal.uea.ac.uk/uss/intranet/safety-subjects/fire/peep/documents/lsb
,,,
9,16,6.571428571,portal.uea.ac.uk/en/uss/intranet/safety-subjects/fire/peep/documents/lsb
,,,
9,17,6.625,portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/postgraduate-research-reporting
,,,
9,18,6.857142857,portal.uea.ac.uk/csed/learning-and-teaching1/uea-writing-cafe-platform-hootsuite
,,,
9,19,7.4,portal.uea.ac.uk/uss/intranet/safety-subjects/fire/peep/documents/env
,,,
9,20,7.5,portal.uea.ac.uk/en/csed/learning-and-teaching1/uea-writing-cafe
,,,
9,21,7.833333333,portal.uea.ac.uk/uss/intranet/safety-subjects/fire/peep/documents/med
,,,
9,22,8,portal.uea.ac.uk/uss/intranet/safety-subjects/fire/peep/documents/cap
,,,
9,23,8.8,portal.uea.ac.uk/en/uss/intranet/safety-subjects/fire/peep/documents/cap
,,,
10,1,1.2,portal.uea.ac.uk/rin/consultancy/cpd
,,,
10,2,1.714285714,portal.uea.ac.uk/csed/resources/labyrinth/book-of-reflection
,,,
10,3,2.25,portal.uea.ac.uk/en/rin/consultancy/cpd
,,,
10,4,3,portal.uea.ac.uk/en/csed/resources/labyrinth/book-of-reflection
,,,
10,5,3,portal.uea.ac.uk/learning-and-teaching/staff/course-modules/proposals
,,,
10,6,3.333333333,portal.uea.ac.uk/web/about/our-university/teaching-fellows/harriet-jones
,,,
10,7,3.333333333,portal.uea.ac.uk/student-support-service/learning-enhancement/study-resources/academic-writing-study-skills/lectures-and-seminars
,,,
10,8,4,portal.uea.ac.uk/en/student-support-service/learning-enhancement/study-resources/academic-writing-study-skills/lectures-and-seminars
,,,
10,9,4.5,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/copyright/faqs
,,,
10,10,4.8,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/copyright/faqs
,,,
10,11,5.166666667,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/data-protection/data-protection-act-faqs
,,,
10,12,5.25,portal.uea.ac.uk/learning-and-teaching/staff/course-modules/closure
,,,
10,13,5.333333333,portal.uea.ac.uk/planningoffice/slc/postgraduate-loans
,,,
10,14,5.666666667,portal.uea.ac.uk/graduationoffice/summer-graduation/on-the-day
,,,
10,15,6,portal.uea.ac.uk/graduationoffice/registration
,,,
10,16,6,portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/shared-dimensions/course-dim_course-
,,,
10,17,6,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/data-protection/data-protection-act-faqs
,,,
10,18,6.666666667,portal.uea.ac.uk/web/about/our-university
,,,
10,19,7.666666667,portal.uea.ac.uk/learning-and-teaching/students/modules-and-courses
,,,
10,20,7.666666667,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information/staff-faqs
,,,
10,21,8.333333333,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/data-protection/data-protection-act-general-faqs
,,,
10,22,8.666666667,portal.uea.ac.uk/web/hub/estates/help-centre/faqs-questions
,,,
10,23,9.666666667,portal.uea.ac.uk/partnerships-office/uea-partnerships-handbook/validation/validation-of-new-courses
